Kolar	19	13.138	78.130
Srikakulam	02	18.299	83.898
Mandya	19	12.522	76.897
Madhurampur Dehri	34	24.969	84.196
Kanchrapara	28	22.960	88.428
Dimapur	20	25.912	93.722
Maler Kotla	23	30.531	75.879
Siwan	34	26.221	84.356
Kalol	09	23.247	72.495
Bankura	28	23.232	87.072
Patan	09	23.851	72.130
Gonda City	36	27.132	81.953
Dhaulpur	24	26.693	77.880
Gondia	16	21.460	80.192
Palakkad	13	10.773	76.654
Bettiah	34	26.802	84.503
Palwal	10	28.145	77.325
Raniganj	28	23.616	87.131
Etah	36	27.559	78.657
Pilibhit	36	28.631	79.804
Rajapalayam	25	9.453	77.553
Botad	09	22.169	71.667
Deoria	36	26.502	83.779
Nimach	24	24.459	74.866
Khardah	28	22.719	88.378
Yavatmal	16	20.393	78.132
Halisahar	28	22.932	88.419
Khanna	23	30.705	76.222
Titagarh	28	22.743	88.373
Mustafabad	07	28.720	77.268
Hathras	36	27.596	78.052
Jorhat	03	26.758	94.203
Lalitpur	36	24.690	78.419
Guntakal	02	15.171	77.362
Pithampur	35	22.602	75.696
Mothihari	34	26.649	84.917
Kanhangad	13	12.308	75.106
Jagdalpur	37	19.081	82.021
Jagadhri	10	30.167	77.304
Darjiling	28	27.033	88.267
Kurichchi	25	10.961	76.974
Dam Dam	28	22.633	88.423
Hardoi	36	27.395	80.132
Puruliya	28	23.331	86.363
Dharmavaram	02	14.414	77.720
Gokalpur	07	28.703	77.290
Bhadreswar	28	22.824	88.338
Nagaon	03	26.350	92.667
Vejalpur	09	22.690	73.563
Chikmagalur	19	13.322	75.774
Bhadrak	21	21.054	86.516
Sawai Madhopur	24	26.023	76.344
Ambikapur	37	23.119	83.195
Mandoli	07	28.703	77.310
Satara	16	17.686	73.993
Churu	24	28.304	74.967
Gangapur	24	26.472	76.717
Madhavaram	25	13.148	80.231
Dohad	09	22.833	74.260
Barshi	16	18.235	75.693
Adilabad	40	19.672	78.536
Jhunjhunun	24	28.126	75.398
Jetpur	09	21.755	70.623
Uppal Kalan	40	17.406	78.559
Gudivada	02	16.435	80.996
Baran	24	25.100	76.517
Narmadapuram	35	22.747	77.727
Amreli	09	21.600	71.212
Pudukkottai	25	10.381	78.821
Narasaraopet	02	16.235	80.049
Rishra	28	22.724	88.346
Baripada	21	21.935	86.729
Muktsar	23	30.474	74.517
Azamgarh	36	26.068	83.184
Barnala	23	30.375	75.549
Yelahanka	19	13.101	77.596
Chittorgarh	24	24.890	74.624
Tinsukia	03	27.489	95.360
Khargone	35	21.823	75.614
Baidyabati	28	22.785	88.326
Basti	36	26.788	82.716
Gangavati	19	15.431	76.529
Ambur	25	12.792	78.716
Giridih	38	24.186	86.309
Wardha	16	20.739	78.598
Tadepalligudem	02	16.815	81.527
Chanduasi	36	28.452	78.783
Bagaha	34	27.099	84.090
Achalpur	16	21.257	77.510
Gondal	09	21.961	70.803
Dharashiv	16	18.182	76.039
Port Blair	01	11.666	92.746
Bagalkot	19	16.187	75.696
Suriapet	40	17.141	79.620
Bangaon	28	23.046	88.831
Ashoknagar Kalyangarh	28	22.864	88.637
Deesa	09	24.256	72.179
Navadwip	28	23.407	88.369
Nandurbar	16	21.367	74.241
Sultanpur	36	26.258	82.073
Delhi Cantonment	07	28.600	77.133
Firozpur	23	30.926	74.613
Pandit Deen Dayal Upadhyaya Nagar	36	25.283	83.120
Sehore	35	23.200	77.083
Kanpur Cantonment	36	26.459	80.375
Bansbaria	28	22.954	88.401
Tadpatri	02	14.908	78.010
Jalpaiguri	28	26.517	88.733
Mangalagiri	02	16.431	80.568
Ranebennur	19	14.622	75.630
Khurja	36	28.254	77.855
Kishanganj	34	26.102	87.955
Ponnani	13	10.767	75.925
Hindaun	24	26.734	77.035
Jamalpur	34	25.313	86.489
Nagaur	24	27.202	73.734
Ambala Sadar	10	30.335	76.863
Bhiwadi	24	28.210	76.861
Bundi	24	25.439	75.637
Miryalaguda	40	16.872	79.562
Soyibug	12	34.077	74.706
Jagtial	40	18.795	78.917
Roorkee	39	29.866	77.891
Udgir	16	18.393	77.118
Nagda	35	23.458	75.418
Betul	35	21.901	77.902
Jahanabad	34	25.214	84.987
Kashipur	39	29.214	78.957
Ghazipur	36	25.583	83.585
Amaravati	02	16.514	80.516
Nagapattinam	25	10.764	79.843
Buxar	34	25.575	83.980
Mormugao	33	15.389	73.815
Seoni	35	22.085	79.550
Aurangabad	34	24.752	84.374
Hinganghat	16	20.549	78.840
Dhamtari	37	20.707	81.549
Chilakalurupet	02	16.090	80.167
Malappuram	13	11.042	76.082
Banswara	24	23.541	74.442
Chirmiri	37	23.191	82.353
Itarsi	35	22.615	77.762
Vasco da Gama	33	15.396	73.816
Gangtok	29	27.326	88.612
Datia	35	25.673	78.459
Phagwara	23	31.225	75.774
Airoli	16	19.151	72.996
Luckeesarai	34	25.177	86.095
Shikohabad	36	27.108	78.587
Kasganj	36	27.809	78.646
Khambhat	09	22.317	72.619
Kohima	20	25.675	94.111
Pandharpur	16	17.679	75.331
Kapurthala Town	23	31.380	75.381
Mahuva	09	21.090	71.769
Silvassa	52	20.274	72.997
Balangir	21	20.704	83.490
Nawada	34	24.887	85.544
Bhilai Charoda	37	21.223	81.456
Shamli	36	29.450	77.310
Jharsuguda	21	21.855	84.007
Sadatpur Gujran	07	28.728	77.248
Chalisgaon	16	20.458	75.016
Villupuram	25	11.940	79.492
Amalner	16	21.040	75.059
Tellicherry	13	11.748	75.493
Manjeri	13	11.120	76.120
Birgaon	37	21.308	81.628
Barmer	24	25.746	71.392
Puth Kalan	07	28.712	77.079
Kuniyamuttur	25	10.964	76.953
Sardarshahr	24	28.441	74.491
Sahibganj	38	25.244	87.635
Sanand	09	22.992	72.382
Paramagudi	25	9.546	78.591
Zerakpur	23	30.656	76.821
Tiruchengode	25	11.380	77.894
Closepet	19	12.722	77.281
Emmiganur	02	15.772	77.483
Vaniyambadi	25	12.682	78.620
Kovilpatti	25	9.172	77.870
Parli Vaijnath	16	18.851	76.532
Mainpuri	36	27.229	79.029
Khamgaon	16	20.707	76.568
Makrana	24	27.044	74.724
Allinagaram	25	10.027	77.478
Gudiyatham	25	12.946	78.874
